time,shitperp,altperp,midperp,exchperp,btcperp,ethperp
2019-03-03T00:00:00Z,NaN,NaN,NaN,NaN,3812.573869,133.3399114
2019-03-03T04:00:00Z,NaN,NaN,NaN,NaN,3813.882532,132.8021248
2019-03-03T08:00:00Z,NaN,NaN,NaN,NaN,3797.516424,132.8021248
2019-03-03T12:00:00Z,NaN,NaN,NaN,NaN,3789.74495,131.9447468
2019-03-03T16:00:00Z,NaN,NaN,NaN,NaN,3787.878788,131.0121475
2019-03-03T20:00:00Z,NaN,NaN,NaN,NaN,3782.14826,129.9800221
2019-03-04T00:00:00Z,NaN,NaN,NaN,NaN,3788.022274,127.697449
2019-03-04T04:00:00Z,NaN,NaN,NaN,NaN,3720.930233,126.7415878
2019-03-04T08:00:00Z,NaN,NaN,NaN,NaN,3702.880841,123.5441862
2019-03-04T12:00:00Z,NaN,NaN,NaN,NaN,3684.598379,125.8667499
2019-03-04T16:00:00Z,NaN,NaN,NaN,NaN,3704.526932,124.9657906
2019-03-04T20:00:00Z,NaN,NaN,NaN,NaN,3697.814592,124.9657906
2019-03-05T00:00:00Z,NaN,NaN,NaN,NaN,3695.764654,125.5193363
2019-03-05T04:00:00Z,NaN,NaN,NaN,NaN,3711.539175,127.5575285
2019-03-05T08:00:00Z,NaN,NaN,NaN,NaN,3730.090641,127.1286097
2019-03-05T12:00:00Z,NaN,NaN,NaN,NaN,3820.5,133.83
2019-03-05T16:00:00Z,NaN,NaN,NaN,NaN,3844,136.48
2019-03-05T20:00:00Z,NaN,NaN,NaN,NaN,3740,133.1
2019-03-06T00:00:00Z,NaN,NaN,NaN,NaN,3816,134.98
2019-03-06T04:00:00Z,NaN,NaN,NaN,NaN,3839.25,136.73
2019-03-06T08:00:00Z,NaN,NaN,NaN,NaN,3848,138.03
2019-03-06T12:00:00Z,NaN,NaN,NaN,NaN,3846.5,137.38
2019-03-06T16:00:00Z,NaN,NaN,NaN,NaN,3843.5,136.67
2019-03-06T20:00:00Z,NaN,NaN,NaN,NaN,3848.75,137.15
2019-03-07T00:00:00Z,NaN,NaN,NaN,NaN,3869.75,138.34
2019-03-07T04:00:00Z,NaN,NaN,NaN,NaN,3863.75,137.4
2019-03-07T08:00:00Z,NaN,NaN,NaN,NaN,3851.5,136.01
2019-03-07T12:00:00Z,NaN,NaN,NaN,NaN,3860.75,136.29
2019-03-07T16:00:00Z,NaN,NaN,NaN,NaN,3863,136.85
2019-03-07T20:00:00Z,NaN,NaN,NaN,NaN,3858.75,136.39
2019-03-08T00:00:00Z,NaN,NaN,NaN,NaN,3855.25,135.35
2019-03-08T04:00:00Z,NaN,NaN,NaN,NaN,3870.5,135.54
2019-03-08T08:00:00Z,NaN,NaN,NaN,NaN,3876,135.77
2019-03-08T12:00:00Z,NaN,NaN,NaN,NaN,3888.75,136.61
2019-03-08T16:00:00Z,NaN,NaN,NaN,NaN,3897.25,137.42
2019-03-08T20:00:00Z,NaN,NaN,NaN,NaN,3837.75,132.53
2019-03-09T00:00:00Z,NaN,NaN,NaN,NaN,3850.25,133.62
2019-03-09T04:00:00Z,NaN,NaN,NaN,NaN,3890.5,136.34
2019-03-09T08:00:00Z,NaN,NaN,NaN,NaN,3890.75,136.6
2019-03-09T12:00:00Z,NaN,NaN,NaN,NaN,3921,136.74
2019-03-09T16:00:00Z,NaN,NaN,NaN,NaN,3906.25,136.29
2019-03-09T20:00:00Z,NaN,NaN,NaN,NaN,3916,136.41
2019-03-10T00:00:00Z,NaN,NaN,NaN,NaN,3899,135.6
2019-03-10T04:00:00Z,NaN,NaN,NaN,NaN,3882.5,134.21
2019-03-10T08:00:00Z,NaN,NaN,NaN,NaN,3887.5,134.69
2019-03-10T12:00:00Z,NaN,NaN,NaN,NaN,3884.5,134.58
2019-03-10T16:00:00Z,NaN,NaN,NaN,NaN,3879,133.74
2019-03-10T20:00:00Z,NaN,NaN,NaN,NaN,3899,134.72
2019-03-11T00:00:00Z,NaN,NaN,NaN,NaN,3906.25,135.15
2019-03-11T04:00:00Z,NaN,NaN,NaN,NaN,3866.5,132.9
2019-03-11T08:00:00Z,NaN,NaN,NaN,NaN,3857,131.6
2019-03-11T12:00:00Z,NaN,NaN,NaN,NaN,3831.5,131.02
2019-03-11T16:00:00Z,NaN,NaN,NaN,NaN,3839.25,131.04
2019-03-11T20:00:00Z,NaN,NaN,NaN,NaN,3851,131.91
2019-03-12T00:00:00Z,NaN,NaN,NaN,NaN,3805.25,129.37
2019-03-12T04:00:00Z,NaN,NaN,NaN,NaN,3823.25,130
2019-03-12T08:00:00Z,NaN,NaN,NaN,NaN,3859.25,133.1
2019-03-12T12:00:00Z,NaN,NaN,NaN,NaN,3849,132.26
2019-03-12T16:00:00Z,NaN,NaN,NaN,NaN,3851.5,131.71
2019-03-12T20:00:00Z,NaN,NaN,NaN,NaN,3858.25,132.77
2019-03-13T00:00:00Z,NaN,NaN,NaN,NaN,3866,132.36
2019-03-13T04:00:00Z,NaN,NaN,NaN,NaN,3861.5,131.71
2019-03-13T08:00:00Z,NaN,NaN,NaN,NaN,3837.25,131.02
2019-03-13T12:00:00Z,NaN,NaN,NaN,NaN,3848.75,131.39
2019-03-13T16:00:00Z,NaN,NaN,NaN,NaN,3851.75,131.16
2019-03-13T20:00:00Z,NaN,NaN,NaN,NaN,3846.75,131.14
2019-03-14T00:00:00Z,NaN,NaN,NaN,NaN,3850.75,131.25
2019-03-14T04:00:00Z,NaN,NaN,NaN,NaN,3839.25,130.71
2019-03-14T08:00:00Z,NaN,NaN,NaN,NaN,3842.75,130.79
2019-03-14T12:00:00Z,NaN,NaN,NaN,NaN,3853.75,131.35
2019-03-14T16:00:00Z,NaN,NaN,NaN,NaN,3849.75,131.3
2019-03-14T20:00:00Z,NaN,NaN,NaN,NaN,3852.25,131.44
2019-03-15T00:00:00Z,NaN,NaN,NaN,NaN,3861,132.35
2019-03-15T04:00:00Z,NaN,NaN,NaN,NaN,3856,132.4
2019-03-15T08:00:00Z,NaN,NaN,NaN,NaN,3882.25,133.89
2019-03-15T12:00:00Z,NaN,NaN,NaN,NaN,3897.25,135.81
2019-03-15T16:00:00Z,NaN,NaN,NaN,NaN,3901.25,136.04
2019-03-15T20:00:00Z,NaN,NaN,NaN,NaN,3897,135.74
2019-03-16T00:00:00Z,NaN,NaN,NaN,NaN,3947.75,138.58
2019-03-16T04:00:00Z,NaN,NaN,NaN,NaN,3999.75,141.2
2019-03-16T08:00:00Z,NaN,NaN,NaN,NaN,4006.25,141.69
2019-03-16T12:00:00Z,NaN,NaN,NaN,NaN,3974.5,139.62
2019-03-16T16:00:00Z,NaN,NaN,NaN,NaN,3975.25,139.53
2019-03-16T20:00:00Z,NaN,NaN,NaN,NaN,3987.75,140.48
2019-03-17T00:00:00Z,NaN,NaN,NaN,NaN,3950.25,137.19
2019-03-17T04:00:00Z,NaN,NaN,NaN,NaN,3953.5,138.04
2019-03-17T08:00:00Z,NaN,NaN,NaN,NaN,3966.25,138.29
2019-03-17T12:00:00Z,NaN,NaN,NaN,NaN,3969,138.78
2019-03-17T16:00:00Z,NaN,NaN,NaN,NaN,3970.75,138.64
2019-03-17T20:00:00Z,NaN,NaN,NaN,NaN,3963,138.1
2019-03-18T00:00:00Z,NaN,NaN,NaN,NaN,3987.5,139.5
2019-03-18T04:00:00Z,NaN,NaN,NaN,NaN,3957.5,137.06
2019-03-18T08:00:00Z,NaN,NaN,NaN,NaN,3956.25,136.66
2019-03-18T12:00:00Z,NaN,NaN,NaN,NaN,3963.25,137
2019-03-18T16:00:00Z,NaN,NaN,NaN,NaN,3962,136.87
2019-03-18T20:00:00Z,NaN,NaN,NaN,NaN,3970,137.05
2019-03-19T00:00:00Z,NaN,NaN,NaN,NaN,3971.5,137.22
2019-03-19T04:00:00Z,NaN,NaN,NaN,NaN,3962.25,137.06
2019-03-19T08:00:00Z,NaN,NaN,NaN,NaN,3967.5,137.25
2019-03-19T12:00:00Z,NaN,NaN,NaN,NaN,3977.75,137.42
2019-03-19T16:00:00Z,NaN,NaN,NaN,NaN,3991.75,137.75
2019-03-19T20:00:00Z,NaN,NaN,NaN,NaN,3998.75,137.98
2019-03-20T00:00:00Z,NaN,NaN,NaN,NaN,3978.25,136.95
2019-03-20T04:00:00Z,NaN,NaN,NaN,NaN,3987.25,137.04
2019-03-20T08:00:00Z,NaN,NaN,NaN,NaN,3994.75,137.68
2019-03-20T12:00:00Z,NaN,NaN,NaN,NaN,3997,137.61
2019-03-20T16:00:00Z,NaN,NaN,NaN,NaN,4009.25,137.42
2019-03-20T20:00:00Z,NaN,NaN,NaN,NaN,4032.5,138.69
2019-03-21T00:00:00Z,NaN,NaN,NaN,NaN,4029,138.33
2019-03-21T04:00:00Z,NaN,NaN,NaN,NaN,4033.25,138.72
2019-03-21T08:00:00Z,NaN,NaN,NaN,NaN,4031.5,138.34
2019-03-21T12:00:00Z,NaN,NaN,NaN,NaN,3964.25,134.5
2019-03-21T16:00:00Z,NaN,NaN,NaN,NaN,3971.25,134.66
2019-03-21T20:00:00Z,NaN,NaN,NaN,NaN,3971,134.46
2019-03-22T00:00:00Z,NaN,NaN,NaN,NaN,3971,134.46
2019-03-22T04:00:00Z,NaN,NaN,NaN,NaN,3967.5,135.09
2019-03-22T08:00:00Z,NaN,NaN,NaN,NaN,3978.75,135.4
2019-03-22T12:00:00Z,NaN,NaN,NaN,NaN,3983.25,136.25
2019-03-22T16:00:00Z,NaN,NaN,NaN,NaN,3990,136.61
2019-03-22T20:00:00Z,NaN,NaN,NaN,NaN,3979.25,135.75
2019-03-23T00:00:00Z,NaN,NaN,NaN,NaN,3994.5,136.53
2019-03-23T04:00:00Z,NaN,NaN,NaN,NaN,3987.5,137.04
2019-03-23T08:00:00Z,NaN,NaN,NaN,NaN,3981.25,136.42
2019-03-23T12:00:00Z,NaN,NaN,NaN,NaN,3978.25,136.21
2019-03-23T16:00:00Z,NaN,NaN,NaN,NaN,3970.5,135.79
2019-03-23T20:00:00Z,NaN,NaN,NaN,NaN,3980.75,136.5
2019-03-24T00:00:00Z,NaN,NaN,NaN,NaN,3969,135.83
2019-03-24T04:00:00Z,NaN,NaN,NaN,NaN,3963,135.49
2019-03-24T08:00:00Z,NaN,NaN,NaN,NaN,3973,136.02
2019-03-24T12:00:00Z,NaN,NaN,NaN,NaN,3970.25,135.79
2019-03-24T16:00:00Z,NaN,NaN,NaN,NaN,3963.5,134.89
2019-03-24T20:00:00Z,NaN,NaN,NaN,NaN,3969,135.37
2019-03-25T00:00:00Z,NaN,NaN,NaN,NaN,3972.25,135.51
2019-03-25T04:00:00Z,NaN,NaN,NaN,NaN,3969,135.31
2019-03-25T08:00:00Z,NaN,NaN,NaN,NaN,3967.75,135.25
2019-03-25T12:00:00Z,NaN,NaN,NaN,NaN,3945,133.3
2019-03-25T16:00:00Z,NaN,NaN,NaN,NaN,3898,132.15
2019-03-25T20:00:00Z,NaN,NaN,NaN,NaN,3905.25,133
2019-03-26T00:00:00Z,NaN,NaN,NaN,NaN,3905.25,133.26
2019-03-26T04:00:00Z,NaN,NaN,NaN,NaN,3902.25,132.83
2019-03-26T08:00:00Z,NaN,NaN,NaN,NaN,3896,132.77
2019-03-26T12:00:00Z,NaN,NaN,NaN,NaN,3913.75,132.85
2019-03-26T16:00:00Z,NaN,NaN,NaN,NaN,3911.25,133.2
2019-03-26T20:00:00Z,NaN,NaN,NaN,NaN,3921.25,133.26
2019-03-27T00:00:00Z,NaN,NaN,NaN,NaN,3973.75,136.34
2019-03-27T04:00:00Z,NaN,NaN,NaN,NaN,3981,136.64
2019-03-27T08:00:00Z,NaN,NaN,NaN,NaN,4014.25,138.1
2019-03-27T12:00:00Z,NaN,NaN,NaN,NaN,4012.75,137.69
2019-03-27T16:00:00Z,NaN,NaN,NaN,NaN,4003.75,137.58
2019-03-27T20:00:00Z,NaN,NaN,NaN,NaN,4023.5,138.93
2019-03-28T00:00:00Z,NaN,NaN,NaN,NaN,4001.75,137.95
2019-03-28T04:00:00Z,NaN,NaN,NaN,NaN,4014.75,137.83
2019-03-28T08:00:00Z,NaN,NaN,NaN,NaN,4000,137.13
2019-03-28T12:00:00Z,NaN,NaN,NaN,NaN,4014.75,137.8
2019-03-28T16:00:00Z,NaN,NaN,NaN,NaN,4009.5,137.07
2019-03-28T20:00:00Z,NaN,NaN,NaN,NaN,4010,137.36
2019-03-29T00:00:00Z,NaN,NaN,NaN,NaN,4021,137.85
2019-03-29T04:00:00Z,NaN,NaN,NaN,NaN,4034.75,138
2019-03-29T08:00:00Z,NaN,NaN,NaN,NaN,4098.75,140.58
2019-03-29T12:00:00Z,NaN,NaN,NaN,NaN,4078.75,140.42
2019-03-29T16:00:00Z,NaN,NaN,NaN,NaN,4079.5,140.56
2019-03-29T20:00:00Z,NaN,NaN,NaN,NaN,4086.75,142.74
2019-03-30T00:00:00Z,NaN,NaN,NaN,NaN,4087.25,142.98
2019-03-30T04:00:00Z,NaN,NaN,NaN,NaN,4086,141.88
2019-03-30T08:00:00Z,NaN,NaN,NaN,NaN,4081.75,141.81
2019-03-30T12:00:00Z,NaN,NaN,NaN,NaN,4065.5,141.23
2019-03-30T16:00:00Z,NaN,NaN,NaN,NaN,4073.25,141.28
2019-03-30T20:00:00Z,NaN,NaN,NaN,NaN,4091.25,142.08
2019-03-31T00:00:00Z,NaN,NaN,NaN,NaN,4085.75,141.03
2019-03-31T04:00:00Z,NaN,NaN,NaN,NaN,4075.25,140.31
2019-03-31T08:00:00Z,NaN,NaN,NaN,NaN,4097,141.63
2019-03-31T12:00:00Z,NaN,NaN,NaN,NaN,4083.75,140.6
2019-03-31T16:00:00Z,NaN,NaN,NaN,NaN,4090.25,140.9
2019-03-31T20:00:00Z,NaN,NaN,NaN,NaN,4090.25,141.1
2019-04-01T00:00:00Z,NaN,NaN,NaN,NaN,4125.5,142.46
2019-04-01T04:00:00Z,NaN,NaN,NaN,NaN,4116.25,142.06
2019-04-01T08:00:00Z,NaN,NaN,NaN,NaN,4107.75,141.36
2019-04-01T12:00:00Z,NaN,NaN,NaN,NaN,4134.5,141.38
2019-04-01T16:00:00Z,NaN,NaN,NaN,NaN,4124.5,140.22
2019-04-01T20:00:00Z,NaN,NaN,NaN,NaN,4131.25,141.05
2019-04-02T00:00:00Z,NaN,NaN,NaN,NaN,4176,141.53
2019-04-02T04:00:00Z,NaN,NaN,NaN,NaN,4703,151.06
2019-04-02T08:00:00Z,NaN,NaN,NaN,NaN,4782,153.16
2019-04-02T12:00:00Z,NaN,NaN,NaN,NaN,4748,155.93
2019-04-02T16:00:00Z,NaN,NaN,NaN,NaN,4762,160.92
