time,uniperp,sushiperp,runeperp,btcperp,adaperp,exchperp,shitperp,altperp,defiperp,midperp,linkperp,dotperp,mkrperp,xrpperp,bnbperp,solperp,aaveperp,fttperp,maticperp,dogeperp,ethperp
2020-09-17T03:00:00Z,2.949,1.51,0.533,10877.5,0.09176,1438.9,1140.8,689.05,2341.9,818.3,10.958,5.207,472,0.25185,27.5275,2.4825,NaN,NaN,0.019715,0.0027975,377.11
2020-09-17T04:00:00Z,2.55,1.51,0.518,10912.5,0.091985,1441,1141.2,690.5,2347.2,822.7,11.0515,5.246,475.5,0.252075,27.4075,2.505,NaN,NaN,0.01986,0.0028045,378.76
2020-09-17T05:00:00Z,2.507,1.535,0.527,10916,0.0925,1440.4,1148.9,691.65,2372.9,826.3,11.184,5.258,480.5,0.252675,27.4525,2.57,NaN,NaN,0.01992,0.002811,380.07
2020-09-17T06:00:00Z,3.63,1.49,0.5195,10873.5,0.092055,1434.1,1133.5,687.3,2335.5,820.2,10.8335,5.181,476,0.249675,26.98,2.5075,NaN,NaN,0.0197375,0.002802,379.35
2020-09-17T07:00:00Z,3.357,1.435,0.4855,10898.5,0.09266,1432.9,1130.3,688.55,2308.1,819.1,10.907,5.13,470.5,0.2512,26.82,2.53,NaN,NaN,0.0199125,0.002801,379.7
2020-09-17T08:00:00Z,2.837,1.405,0.481,10876.5,0.092145,1429.5,1123.6,685.25,2288.2,817.2,10.7095,5.149,475,0.24925,26.52,2.4475,NaN,NaN,0.01991,0.0027915,378.5
2020-09-17T09:00:00Z,2.971,1.43,0.4885,10896,0.092435,1435.7,1131.6,686.9,2294.9,818.8,10.821,5.2,477.5,0.249425,26.935,2.4875,NaN,NaN,0.019635,0.002793,377.76
2020-09-17T10:00:00Z,2.99,1.365,0.485,10836.5,0.09149,1423.8,1119.4,685.75,2257.4,814.3,10.6885,5.168,475.5,0.248575,26.4875,2.495,NaN,NaN,0.019455,0.002794,379.4
2020-09-17T11:00:00Z,2.889,1.385,0.481,10891,0.092155,1435.2,1122.9,690.8,2277,822.2,10.802,5.19,480,0.251525,26.69,2.545,NaN,NaN,0.0196775,0.0028085,382.66
2020-09-17T12:00:00Z,2.618,1.35,0.4675,10811.5,0.09117,1425.1,1110,682.6,2248.3,814.5,10.6495,5.13,479.5,0.248875,26.2625,2.5225,NaN,NaN,0.01943,0.0027805,377.51
2020-09-17T13:00:00Z,2.89,1.375,0.471,10822.5,0.091715,1421.2,1109.2,685.95,2256.1,818.2,10.7755,5.181,487.5,0.250325,26.5075,2.57,NaN,NaN,0.0197,0.002789,379.85
2020-09-17T14:00:00Z,2.931,1.395,0.483,10843,0.091985,1420.6,1115.1,686.3,2260,821.9,10.759,5.248,485,0.250525,26.295,2.58,NaN,NaN,0.01975,0.002792,380.74
2020-09-17T15:00:00Z,2.982,1.425,0.4855,10846,0.09234,1426.2,1120.1,686.1,2266.7,827.6,10.741,5.365,485.5,0.250325,26.3375,2.61,NaN,NaN,0.02016,0.0027935,380.06
2020-09-17T16:00:00Z,3.6,1.41,0.487,10848.5,0.092575,1423.9,1114.4,685.5,2225.7,826.9,10.6025,5.321,489,0.250225,26.0875,2.67,NaN,NaN,0.0203425,0.002786,380.56
