time,sushiperp,runeperp,btcperp,adaperp,exchperp,shitperp,altperp,defiperp,midperp,linkperp,dotperp,mkrperp,xrpperp,bnbperp,solperp,aaveperp,fttperp,maticperp,dogeperp,ethperp
2021-04-12T00:00:00Z,14.2535,10.797,60363,1.273005,11474.1,9109.6,4897.8,11980.9,3834.7,34.207,41.409,2283,1.369425,526.1475,28.16,373.46,51.7435,0.3728425,0.074132,2165.18
2021-04-12T00:05:00Z,14.1935,10.505,59975,1.27263,11462.7,9058,4874.65,11938.3,3818.9,34.03,41.281,2308.5,1.35275,525.99,28.17,372.24,51.5065,0.370995,0.0745915,2154.52
2021-04-12T00:10:00Z,14.1792,10.7085,59941,1.27004,11378.9,9030.6,4860.45,11922.5,3812.9,33.907,41.221,2307.5,1.350075,523.93,28.2375,372.5,51.365,0.3693725,0.073579,2151.36
2021-04-12T00:15:00Z,14.2043,10.7005,59896,1.280135,11432.7,9079.2,4875.25,11930.4,3824.2,34.011,41.244,2316.5,1.35745,525.88,28.3175,371.5,51.439,0.371195,0.0740355,2150.05
2021-04-12T00:20:00Z,14.145,10.6905,59777,1.277705,11397,9054.1,4859.75,11897.8,3813.8,33.775,41.095,2310,1.346925,522.68,28.3875,370.96,51.283,0.3696625,0.073545,2143.75
2021-04-12T00:25:00Z,14.135,10.7025,59739,1.276375,11395.4,9032.2,4853.75,11886,3808.1,33.67,41.063,2310,1.342325,524.4075,28.3675,372.58,51.2215,0.3675925,0.0733105,2141.03
2021-04-12T00:30:00Z,14.1168,10.7135,59781,1.28193,11400,9029.3,4849,11877.7,3812,33.6235,41.061,2294.5,1.3302,523.8175,28.27,373.52,51.2885,0.3678325,0.0738015,2142.07
2021-04-12T00:35:00Z,14.0925,10.7295,59866,1.2891,11417.5,9027.5,4860.75,11884.2,3814,33.6005,41.115,2293.5,1.32615,526.285,28.395,373.2,51.3815,0.368225,0.07482,2142.61
2021-04-12T00:40:00Z,14.0542,10.6935,59820,1.283915,11414.6,8988.8,4848.55,11873.8,3813.9,33.6,41.04,2305.5,1.323725,524.38,28.3575,371.99,51.336,0.3671725,0.074993,2140.73
2021-04-12T00:45:00Z,14.0634,10.7195,59797,1.27575,11380.6,8981.6,4840.55,11849,3810,33.541,40.944,2304,1.330575,522.625,28.34,371.57,51.308,0.3662925,0.0753055,2139.14
2021-04-12T00:50:00Z,14.0803,10.721,59882,1.27841,11399.8,9005.6,4854.5,11859.8,3816.1,33.592,41.013,2314.5,1.340625,524.6375,28.41,372.42,51.376,0.3668475,0.0746395,2140.06
2021-04-12T00:55:00Z,14.071,10.675,59885,1.276285,11399.8,8999.4,4844.45,11844.7,3812.8,33.5475,40.965,2310,1.335625,521.6475,28.3075,373.39,51.3225,0.3670225,0.07406,2140.13
2021-04-12T01:00:00Z,14.0612,10.7195,59882,1.275045,11364.7,9011.6,4849.65,11859.6,3811.1,33.63,40.93,2316.5,1.3473,519.325,28.285,373.15,51.241,0.3648125,0.0741845,2140.77
2021-04-12T01:05:00Z,14.102,10.738,59983,1.28005,11393.7,9027.7,4859.8,11866.4,3815.5,33.707,41.043,2319.5,1.3503,520.83,28.505,374.27,51.3515,0.365095,0.0734075,2143.97
2021-04-12T01:10:00Z,14.1171,10.759,60044,1.281845,11367.3,9035.8,4856.2,11880.1,3818.5,33.707,41.077,2319.5,1.348475,518.465,28.625,374.33,51.3505,0.3657925,0.073214,2144.87
2021-04-12T01:15:00Z,14.1506,10.788,60100,1.284985,11385.1,9033.1,4873,11926.6,3827.8,33.811,41.171,2319,1.3521,520.0475,28.68,373.49,51.4485,0.3660525,0.073454,2151.27
